NodeName	isMutated	degree	neighborVec	pvalue	Gene	EntrezID
RAF1(5894)	0	89	7	0.01	RAF1	5894
RB1(5925)	1	124	4	0.52	RB1	5925
RCHY1(25898)	0	5	1	0.25	RCHY1	25898
RICS(9743)	0	22	1	0.61	RICS	9743
RPGR(6103)	0	13	0	1	RPGR	6103
RRM2(6241)	1	5	2	0.02	RRM2	6241
RUNX1(861)	0	22	1	0.52	RUNX1	861
RUNX1T1(862)	0	26	1	0.57	RUNX1T1	862
RUNX2(860)	0	24	2	0.18	RUNX2	860
RYR2(6262)	1	12	2	0.04	RYR2	6262
SF3B1(23451)	0	10	0	1	SF3B1	23451
SH3KBP1(30011)	0	26	3	0.06	SH3KBP1	30011
SKP2(6502)	0	25	5	0	SKP2	6502
SMAD3(4088)	0	175	6	0.48	SMAD3	4088
SMAD5(4090)	0	33	2	0.27	SMAD5	4090
SMARCA4(6597)	0	36	6	0	SMARCA4	6597
SMARCB1(6598)	0	16	3	0.04	SMARCB1	6598
SP1(6667)	0	87	5	0.13	SP1	6667
SP3(6670)	0	16	2	0.11	SP3	6670
SRC(6714)	0	192	6	0.54	SRC	6714
SRPR(6734)	0	2	0	1	SRPR	6734
STK11(6794)	1	21	3	0.01	STK11	6794
SUV39H1(6839)	0	20	1	0.53	SUV39H1	6839
SYK(6850)	0	73	1	0.88	SYK	6850
TBL1X(6907)	0	11	1	0.27	TBL1X	6907
TBL1XR1(79718)	1	8	1	0.24	TBL1XR1	79718
TBP(6908)	0	81	4	0.27	TBP	6908
TBX3(6926)	0	1	0	1	TBX3	6926
TEP1(7011)	0	4	1	0.22	TEP1	7011
TFAP2A(7020)	0	21	3	0.02	TFAP2A	7020
THRB(7068)	0	35	1	0.65	THRB	7068
TLE1(7088)	0	55	2	0.6	TLE1	7088
TLR4(7099)	0	22	1	0.49	TLR4	7099
TOP2A(7153)	0	19	2	0.14	TOP2A	7153
TP53(7157)	1	238	8	0.56	TP53	7157
TSC2(7249)	0	21	2	0.13	TSC2	7249
TUBG1(7283)	0	20	1	0.47	TUBG1	7283
UBB(7314)	0	55	6	0	UBB	7314
UBE2I(7329)	0	95	7	0.03	UBE2I	7329
USH2A(7399)	0	2	0	1	USH2A	7399
VIL2(7430)	0	44	0	1	VIL2	7430
WNT7A(7476)	0	3	1	0.15	WNT7A	7476
YAP1(10413)	0	18	0	1	YAP1	10413
YBX1(4904)	0	18	1	0.42	YBX1	4904
YWHAE(7531)	0	58	7	0.01	YWHAE	7531
YWHAG(7532)	0	241	9	0.32	YWHAG	7532
YWHAZ(7534)	0	107	6	0.16	YWHAZ	7534
ZBTB16(7704)	0	83	2	0.75	ZBTB16	7704
ZFP36L1(677)	0	2	0	1	ZFP36L1	677
