NodeName	isMutated	degree	neighborVec	pvalue	Gene	EntrezID
PTEN(5728)	0	21	1	0.39	PTEN	5728
PTK2(5747)	0	81	7	0.01	PTK2	5747
PTPN22(26191)	0	3	0	1	PTPN22	26191
PTPRD(5789)	0	8	0	1	PTPRD	5789
PTPRF(5792)	0	21	1	0.51	PTPRF	5792
RAC1(5879)	0	89	3	0.53	RAC1	5879
RAF1(5894)	0	89	4	0.29	RAF1	5894
RB1(5925)	0	124	4	0.46	RB1	5925
RCHY1(25898)	0	5	0	1	RCHY1	25898
RICS(9743)	0	22	2	0.12	RICS	9743
RPGR(6103)	0	13	0	1	RPGR	6103
RRM2(6241)	0	5	0	1	RRM2	6241
RUNX1(861)	0	22	2	0.14	RUNX1	861
RUNX1T1(862)	0	26	2	0.15	RUNX1T1	862
RUNX2(860)	0	24	1	0.52	RUNX2	860
RYR2(6262)	1	12	2	0.05	RYR2	6262
SF3B1(23451)	0	10	0	1	SF3B1	23451
SH3KBP1(30011)	0	26	1	0.55	SH3KBP1	30011
SKP2(6502)	0	25	1	0.51	SKP2	6502
SMAD3(4088)	0	175	4	0.75	SMAD3	4088
SMAD5(4090)	0	33	1	0.67	SMAD5	4090
SMARCA4(6597)	0	36	1	0.68	SMARCA4	6597
SMARCB1(6598)	0	16	2	0.08	SMARCB1	6598
SP1(6667)	0	87	5	0.11	SP1	6667
SP3(6670)	0	16	0	1	SP3	6670
SRC(6714)	0	192	8	0.25	SRC	6714
SRPR(6734)	0	2	0	1	SRPR	6734
STK11(6794)	0	21	0	1	STK11	6794
SUV39H1(6839)	0	20	1	0.45	SUV39H1	6839
SYK(6850)	0	73	3	0.47	SYK	6850
TBL1X(6907)	0	11	1	0.27	TBL1X	6907
TBL1XR1(79718)	0	8	0	1	TBL1XR1	79718
TBP(6908)	0	81	1	0.92	TBP	6908
TBX3(6926)	1	1	1	0.02	TBX3	6926
TEP1(7011)	0	4	0	1	TEP1	7011
TFAP2A(7020)	0	21	1	0.47	TFAP2A	7020
THRB(7068)	0	35	1	0.53	THRB	7068
TLE1(7088)	0	55	3	0.24	TLE1	7088
TLR4(7099)	0	22	1	0.53	TLR4	7099
TOP2A(7153)	0	19	0	1	TOP2A	7153
TP53(7157)	0	238	4	0.89	TP53	7157
TSC2(7249)	0	21	1	0.52	TSC2	7249
TUBG1(7283)	0	20	2	0.16	TUBG1	7283
UBB(7314)	0	55	5	0.03	UBB	7314
UBE2I(7329)	0	95	1	0.95	UBE2I	7329
USH2A(7399)	0	2	0	1	USH2A	7399
VIL2(7430)	0	44	1	0.79	VIL2	7430
WNT7A(7476)	0	3	0	1	WNT7A	7476
YAP1(10413)	0	18	0	1	YAP1	10413
YBX1(4904)	0	18	0	1	YBX1	4904
YWHAE(7531)	0	58	2	0.6	YWHAE	7531
YWHAG(7532)	0	241	4	0.97	YWHAG	7532
YWHAZ(7534)	0	107	1	0.97	YWHAZ	7534
ZBTB16(7704)	0	83	2	0.67	ZBTB16	7704
ZFP36L1(677)	0	2	0	1	ZFP36L1	677
